# This  a data file of potential over a plane
# Variables:  Top=1, Right=2, Bottom=3, Left=4, Front=-2, Back=-1, cycles=10000
  
0 0  -2
0 1  4
0 2  4
0 3  4
0 4  4
0 5  4
0 6  4
0 7  4
0 8  4
0 9  4
0 10  4
0 11  4
0 12  4
0 13  4
0 14  4
0 15  4
0 16  4
0 17  4
0 18  4
0 19  4
0 20  4
0 21  4
0 22  4
0 23  4
0 24  4
0 25  4
0 26  4
0 27  4
0 28  4
0 29  4
0 30  4
0 31  4
0 32  4
0 33  4
0 34  4
0 35  4
0 36  4
0 37  4
0 38  4
0 39  4
0 40  4
0 41  4
0 42  4
0 43  4
0 44  4
0 45  4
0 46  4
0 47  4
0 48  4
0 49  4
0 50  4
  
1 0  -2
1 1  0.55204
1 2  1.19976
1 3  1.48308
1 4  1.63756
1 5  1.73317
1 6  1.79778
1 7  1.84425
1 8  1.87922
1 9  1.90641
1 10  1.92809
1 11  1.94571
1 12  1.96022
1 13  1.9723
1 14  1.98244
1 15  1.99099
1 16  1.99821
1 17  2.00432
1 18  2.00948
1 19  2.0138
1 20  2.01739
1 21  2.02031
1 22  2.02264
1 23  2.02441
1 24  2.02566
1 25  2.0264
1 26  2.02666
1 27  2.02642
1 28  2.02569
1 29  2.02444
1 30  2.02264
1 31  2.02026
1 32  2.01722
1 33  2.01347
1 34  2.00889
1 35  2.00336
1 36  1.99671
1 37  1.98873
1 38  1.97911
1 39  1.96747
1 40  1.95323
1 41  1.9356
1 42  1.91338
1 43  1.88469
1 44  1.8464
1 45  1.79301
1 46  1.71378
1 47  1.58569
1 48  1.35064
1 49  0.887574
1 50  -1
  
2 0  -2
2 1  -0.136868
2 2  0.51036
2 3  0.886465
2 4  1.12767
2 5  1.29115
2 6  1.40749
2 7  1.49379
2 8  1.55998
2 9  1.61212
2 10  1.65405
2 11  1.68832
2 12  1.71669
2 13  1.74039
2 14  1.76032
2 15  1.77717
2 16  1.79144
2 17  1.80351
2 18  1.81371
2 19  1.82227
2 20  1.82938
2 21  1.83518
2 22  1.8398
2 23  1.84332
2 24  1.8458
2 25  1.84728
2 26  1.84779
2 27  1.84732
2 28  1.84587
2 29  1.8434
2 30  1.83984
2 31  1.83512
2 32  1.82912
2 33  1.82169
2 34  1.81265
2 35  1.80175
2 36  1.78866
2 37  1.77298
2 38  1.75413
2 39  1.73139
2 40  1.70371
2 41  1.66964
2 42  1.62707
2 43  1.57279
2 44  1.50176
2 45  1.4057
2 46  1.27036
2 47  1.07046
2 48  0.758659
2 49  0.290716
2 50  -1
  
3 0  -2
3 1  -0.418728
3 2  0.139004
3 3  0.516873
3 4  0.789967
3 5  0.990796
3 6  1.14175
3 7  1.25792
3 8  1.34929
3 9  1.42254
3 10  1.48219
3 11  1.5314
3 12  1.57241
3 13  1.60686
3 14  1.63596
3 15  1.66062
3 16  1.68157
3 17  1.69934
3 18  1.71437
3 19  1.727
3 20  1.7375
3 21  1.74609
3 22  1.75292
3 23  1.75813
3 24  1.76181
3 25  1.76401
3 26  1.76477
3 27  1.7641
3 28  1.76196
3 29  1.75832
3 30  1.75307
3 31  1.74611
3 32  1.73727
3 33  1.72635
3 34  1.71307
3 35  1.69709
3 36  1.67795
3 37  1.65509
3 38  1.62774
3 39  1.59489
3 40  1.5552
3 41  1.5068
3 42  1.44707
3 43  1.37224
3 44  1.27676
3 45  1.15229
3 46  0.986268
3 47  0.760231
3 48  0.447427
3 49  0.0536921
3 50  -1
  
4 0  -2
4 1  -0.569746
4 2  -0.0952445
4 3  0.254178
4 4  0.528934
4 5  0.744775
4 6  0.915226
4 7  1.05125
4 8  1.16113
4 9  1.25097
4 10  1.32522
4 11  1.38716
4 12  1.43923
4 13  1.48326
4 14  1.52065
4 15  1.55249
4 16  1.57961
4 17  1.60268
4 18  1.62225
4 19  1.63872
4 20  1.65244
4 21  1.66367
4 22  1.67262
4 23  1.67945
4 24  1.68427
4 25  1.68717
4 26  1.68818
4 27  1.68732
4 28  1.68454
4 29  1.67979
4 30  1.67296
4 31  1.6639
4 32  1.65241
4 33  1.63823
4 34  1.62103
4 35  1.60038
4 36  1.57574
4 37  1.54641
4 38  1.51151
4 39  1.46989
4 40  1.42002
4 41  1.35988
4 42  1.28675
4 43  1.19692
4 44  1.08531
4 45  0.94503
4 46  0.766936
4 47  0.53995
4 48  0.251293
4 49  -0.0727145
4 50  -1
  
5 0  -2
5 1  -0.661967
5 2  -0.251965
5 3  0.063394
5 4  0.326312
5 5  0.54367
5 6  0.722601
5 7  0.870158
5 8  0.992449
5 9  1.09444
5 10  1.18005
5 11  1.25235
5 12  1.3137
5 13  1.36598
5 14  1.41065
5 15  1.44887
5 16  1.48156
5 17  1.50947
5 18  1.5332
5 19  1.55322
5 20  1.56993
5 21  1.58363
5 22  1.59457
5 23  1.60292
5 24  1.60884
5 25  1.61241
5 26  1.61367
5 27  1.61264
5 28  1.60928
5 29  1.60352
5 30  1.59523
5 31  1.58424
5 32  1.57033
5 33  1.55319
5 34  1.53244
5 35  1.50762
5 36  1.47811
5 37  1.44316
5 38  1.40182
5 39  1.35288
5 40  1.2948
5 41  1.22562
5 42  1.14278
5 43  1.04302
5 44  0.922228
5 45  0.775298
5 46  0.596364
5 47  0.37967
5 48  0.119828
5 49  -0.150004
5 50  -1
  
6 0  -2
6 1  -0.723367
6 2  -0.361923
6 3  -0.0780778
6 4  0.168345
6 5  0.380091
6 6  0.560381
6 7  0.713321
6 8  0.843048
6 9  0.953297
6 10  1.04726
6 11  1.12758
6 12  1.19643
6 13  1.25557
6 14  1.30643
6 15  1.35019
6 16  1.38779
6 17  1.42001
6 18  1.44749
6 19  1.47074
6 20  1.49018
6 21  1.50616
6 22  1.51893
6 23  1.5287
6 24  1.53564
6 25  1.53983
6 26  1.54134
6 27  1.54018
6 28  1.5363
6 29  1.52963
6 30  1.52003
6 31  1.50732
