# This is a data file of electric field over a plane
# Variables: N=10, Top=0, Right=2, Bottom=0, Left=-2, cycles=500, Length=1
# X	Y	Ex	Ey

0.1	0.1	3.15678	-4.65405
0.1	0.2	2.59087	-1.89327
0.1	0.3	1.44917	-0.974389
0.1	0.4	0.674554	-0.655994
0.1	0.5	0.0463262	-0.646341
0.1	0.6	-0.674554	-0.539473
0.1	0.7	-0.580455	-2.32819
0.1	0.8	-2.59087	2.13471
0.1	0.9	-0.362162	-18.6159

0.2	0.1	1.30699	-5.21997
0.2	0.2	1.40273	-3.03497
0.2	0.3	1.15611	-1.74901
0.2	0.4	0.497404	-1.28422
0.2	0.5	0.301563	-1.36722
0.2	0.6	-0.497404	-0.445374
0.2	0.7	-0.0787133	-4.3386
0.2	0.8	-1.40273	4.36342
0.2	0.9	-0.12878	-18.2537

0.3	0.1	0.366354	-5.12422
0.3	0.2	0.747911	-3.28159
0.3	0.3	0.486239	-2.40771
0.3	0.4	0.370747	-1.48006
0.3	0.5	0.0206932	-2.16619
0.3	0.6	-0.370747	-0.0266831
0.3	0.7	-0.150599	-5.66262
0.3	0.8	-0.747911	5.63737
0.3	0.9	-0.226457	-18.1249

0.4	0.1	0.221032	-4.74267
0.4	0.2	0.147202	-3.54327
0.4	0.3	0.589512	-2.5232
0.4	0.4	0.129763	-1.83012
0.4	0.5	0.670432	-2.55763
0.4	0.6	-0.129763	0.193465
0.4	0.7	0.395325	-6.25993
0.4	0.8	-0.147202	6.15882
0.4	0.9	0.0572831	-17.8985

0.5	0.1	-0.221032	-4.8165
0.5	0.2	-0.147202	-3.10096
0.5	0.3	-0.589512	-2.98295
0.5	0.4	-0.129763	-1.28945
0.5	0.5	-0.670432	-3.35782
0.5	0.6	0.129763	0.718553
0.5	0.7	-0.395325	-6.80246
0.5	0.8	0.147202	6.36331
0.5	0.9	-0.0572831	-17.9558

0.6	0.1	0.0518577	-4.74267
0.6	0.2	0.0446543	-3.54327
0.6	0.3	0.834238	-2.5232
0.6	0.4	0.17549	-1.83012
0.6	0.5	1.36156	-2.55763
0.6	0.6	-0.17549	0.193465
0.6	0.7	1.47108	-6.25993
0.6	0.8	-0.0446543	6.15882
0.6	0.9	0.644669	-17.8985

0.7	0.1	-1.7252	-4.74987
0.7	0.2	-2.1953	-2.75368
0.7	0.3	-2.47658	-3.18195
0.7	0.4	-1.04364	-0.644049
0.7	0.5	-1.68381	-4.09468
0.7	0.6	1.04364	1.84003
0.7	0.7	-1.24176	-7.77566
0.7	0.8	2.1953	6.84815
0.7	0.9	-0.289431	-18.5432

0.8	0.1	1.23426	-5.21997
0.8	0.2	1.47458	-3.03497
0.8	0.3	1.81741	-1.74901
0.8	0.4	0.589611	-1.28422
0.8	0.5	2.0317	-1.36722
0.8	0.6	-0.589611	-0.445374
0.8	0.7	3.84704	-4.3386
0.8	0.8	-1.47458	4.36342
0.8	0.9	4.7532	-18.2537

0.9	0.1	-12.5639	-4.97964
0.9	0.2	-7.58428	-2.69213
0.9	0.3	-4.89214	-2.97681
0.9	0.4	-1.91533	0.157871
0.9	0.5	-2.0732	-3.98854
0.9	0.6	1.91533	3.99128
0.9	0.7	-2.07595	-9.66022
0.9	0.8	7.58428	10.5912
0.9	0.9	-3.00692	-23.0069

