# This is a data file of approximate electric field vectors
# Variable: N=10, Top=4, Right=1, Bottom=-4, Left=2, Front=2, Back=2, cycles=1000, Length=5

# X	Y	Z	Ex	Ey	Ez
0.5	0.5	0.5	0.671079	0.670499	-1.37865
0.5	0.5	1	0.510092	0.509014	-0.434558
0.5	0.5	1.5	0.345937	0.344492	-0.187385
0.5	0.5	2	0.236411	0.234745	-0.103195
0.5	0.5	2.5	0.162227	0.160489	-0.0773333
0.5	0.5	3	0.103472	0.101807	-0.0882279
0.5	0.5	3.5	0.044642	0.0431963	-0.16862
0.5	0.5	4	-0.0270112	-0.0280892	-0.220396
0.5	0.5	4.5	-0.0772259	-0.0778054	-5.32928
0.5	1	0.5	0.957151	0.197163	-1.54013
0.5	1	1	0.784407	0.201858	-0.599081
0.5	1	1.5	0.543131	0.151596	-0.297131
0.5	1	2	0.362733	0.0990423	-0.177451
0.5	1	2.5	0.232887	0.0549812	-0.136016
0.5	1	3	0.128142	0.0178366	-0.146838
0.5	1	3.5	0.0267076	-0.0155213	-0.239906
0.5	1	4	-0.0848109	-0.0440089	-0.270112
0.5	1	4.5	-0.148032	-0.0506885	-5.25147
0.5	1.5	0.5	1.07914	0.0697114	-1.53544
0.5	1.5	1	0.927386	0.0866094	-0.649342
0.5	1.5	1.5	0.659553	0.0737036	-0.349685
0.5	1.5	2	0.442289	0.0517989	-0.221512
0.5	1.5	2.5	0.278032	0.0298533	-0.17316
0.5	1.5	3	0.143248	0.0102771	-0.180196
0.5	1.5	3.5	0.0157668	-0.0062924	-0.268394
0.5	1.5	4	-0.115142	-0.0176937	-0.276792
0.5	1.5	4.5	-0.179783	-0.0177565	-5.20078
0.5	2	0.5	1.1297	0.0179661	-1.51854
0.5	2	1	0.994704	0.0243575	-0.662248
0.5	2	1.5	0.719848	0.0221004	-0.371589
0.5	2	2	0.486324	0.0162388	-0.243458
0.5	2	2.5	0.304407	0.00971155	-0.192736
0.5	2	3	0.153423	0.00369092	-0.196766
0.5	2	3.5	0.0124041	-0.00128683	-0.279795
0.5	2	4	-0.127275	-0.00440886	-0.276854
0.5	2	4.5	-0.191682	-0.00422264	-5.18303
0.5	2.5	0.5	1.14359	-0.0179661	-1.51215
0.5	2.5	1	1.01435	-0.0243575	-0.664505
0.5	2.5	1.5	0.738331	-0.0221004	-0.377451
0.5	2.5	2	0.500325	-0.0162388	-0.249985
0.5	2.5	2.5	0.313073	-0.00971155	-0.198757
