# This  a data file of potential over a plane
# Variables:  Top=4, Right=1, Bottom=-4, Left=2, Front=3, Back=4, cycles=10000
  
# X  Z V
0 0  3
0 1  2
0 2  2
0 3  2
0 4  2
0 5  2
0 6  2
0 7  2
0 8  2
0 9  2
0 10  2
0 11  2
0 12  2
0 13  2
0 14  2
0 15  2
0 16  2
0 17  2
0 18  2
0 19  2
0 20  2
0 21  2
0 22  2
0 23  2
0 24  2
0 25  2
  
1 0  3
1 1  1.29445
1 2  1.05668
1 3  0.95144
1 4  0.884628
1 5  0.839292
1 6  0.807887
1 7  0.78597
1 8  0.770735
1 9  0.760377
1 10  0.753741
1 11  0.750114
1 12  0.749105
1 13  0.750574
1 14  0.754614
1 15  0.761562
1 16  0.77205
1 17  0.787121
1 18  0.808411
1 19  0.838494
1 20  0.881482
1 21  0.944244
1 22  1.03886
1 23  1.19644
1 24  1.36767
1 25  4
  
2 0  3
2 1  1.27863
2 2  0.972457
2 3  0.801383
2 4  0.682367
2 5  0.598239
2 6  0.538699
2 7  0.496625
2 8  0.467151
2 9  0.447011
2 10  0.434069
2 11  0.426984
2 12  0.425015
2 13  0.427898
2 14  0.43581
2 15  0.449387
2 16  0.469822
2 17  0.499054
2 18  0.540075
2 19  0.597446
2 20  0.678085
2 21  0.792508
2 22  0.956233
2 23  1.19914
2 24  1.42995
2 25  4
  
3 0  3
3 1  1.26574
3 2  0.923033
3 3  0.709669
3 4  0.55279
3 5  0.438173
3 6  0.355301
3 7  0.295891
3 8  0.25386
3 9  0.224949
3 10  0.206288
3 11  0.19605
3 12  0.193212
3 13  0.197408
3 14  0.208881
3 15  0.22851
3 16  0.257928
3 17  0.299745
3 18  0.357904
3 19  0.438202
3 20  0.548962
3 21  0.701755
3 22  0.911198
3 23  1.20037
3 24  1.45662
3 25  4
  
4 0  3
4 1  1.24717
4 2  0.878548
4 3  0.636341
4 4  0.452385
4 5  0.31475
4 6  0.213431
4 7  0.13981
4 8  0.0872037
4 9  0.0507567
4 10  0.0271181
4 11  0.0141178
