# This is a data file of electric field over a plane
# Variables: N=20, Top=4, Right=0, Bottom=-4, Left=0, cycles=100000, Length=1

# X	Y	Ex	Ey
0.05	0.05	16.1369	-19.4451
0.05	0.1	14.6978	-7.98133
0.05	0.15	9.58214	-3.32196
0.05	0.2	5.90574	-1.48685
0.05	0.25	3.64322	-1.00178
0.05	0.3	2.54346	-0.810942
0.05	0.35	1.78658	-0.739135
0.05	0.4	1.18315	-0.662535
0.05	0.45	0.584581	-0.641356
0.05	0.5	1.58393e-15	-0.605981
0.05	0.55	-0.595915	-0.69791
0.05	0.6	-1.18315	-0.676209
0.05	0.65	-1.97433	-0.873867
0.05	0.7	-2.54346	-1.21174
0.05	0.75	-3.47566	-1.27689
0.05	0.8	-5.90574	-1.41743
0.05	0.85	-2.48564	-9.88585
0.05	0.9	-14.6978	13.1759
0.05	0.95	0.761454	-76.53

0.1	0.05	7.27431	-20.8842
0.1	0.1	9.84893	-13.097
0.1	0.15	9.00137	-6.99836
0.1	0.2	6.24095	-3.74937
0.1	0.25	4.13209	-2.10154
0.1	0.3	2.50309	-1.56782
0.1	0.35	1.66474	-1.34257
0.1	0.4	1.02664	-1.2611
0.1	0.45	0.527638	-1.22594
0.1	0.5	1.76982e-15	-1.2019
0.1	0.55	-0.532928	-1.28514
0.1	0.6	-1.02664	-1.46739
0.1	0.65	-1.64542	-1.44299
0.1	0.7	-2.50309	-2.14395
0.1	0.75	-1.7761	-3.70697
0.1	0.8	-6.24095	2.00267
0.1	0.85	0.44119	-22.098
0.1	0.9	-9.84893	28.6351
0.1	0.95	0.270362	-77.2915

0.15	0.05	2.55018	-18.3096
0.15	0.1	5.66091	-13.9445
0.15	0.15	6.27981	-9.75879
0.15	0.2	5.86774	-5.85822
0.15	0.25	4.02528	-3.73055
0.15	0.3	2.78234	-2.40617
0.15	0.35	1.55804	-1.98067
0.15	0.4	0.934259	-1.7601
0.15	0.45	0.40012	-1.75357
0.15	0.5	-1.23689e-16	-1.73482
0.15	0.55	-0.50825	-1.77885
0.15	0.6	-0.934259	-2.08617
0.15	0.65	-1.20996	-2.30066
0.15	0.7	-2.78234	-1.41696
0.15	0.75	-0.617123	-8.17182
0.15	0.8	-5.86774	8.6848
0.15	0.85	0.416441	-32.3881
0.15	0.9	-5.66091	38.7544
0.15	0.95	-1.09375	-77.5618

0.2	0.05	1.43975	-15.1988
0.2	0.1	2.61488	-13.3256
0.2	0.15	4.37257	-10.1709
0.2	0.2	4.20879	-7.70069
0.2	0.25	4.08876	-4.97349
0.2	0.3	2.62715	-3.63046
0.2	0.35	1.91057	-2.60445
0.2	0.4	0.908252	-2.29424
0.2	0.45	0.423252	-2.15369
0.2	0.5	-2.92139e-16	-2.24307
0.2	0.55	-0.320873	-2.20486
0.2	0.6	-0.908252	-2.36188
0.2	0.65	-0.303752	-3.87303
0.2	0.7	-2.62715	0.748258
0.2	0.75	0.580739	-13.4224
0.2	0.8	-4.20879	14.969
0.2	0.85	0.398763	-38.4655
0.2	0.9	-2.61488	43.3216
0.2	0.95	-0.647173	-76.4681

0.25	0.05	0.216234	-14.0237
0.25	0.1	1.46394	-11.5679
0.25	0.15	1.83556	-10.3346
0.25	0.2	3.16938	-7.82072
0.25	0.25	2.59391	-6.43509
0.25	0.3	2.80853	-4.34704
0.25	0.35	1.52657	-3.60677
0.25	0.4	1.2452	-2.77924
0.25	0.45	0.370707	-2.57695
0.25	0.5	-9.90902e-16	-2.56395
0.25	0.55	-0.212041	-2.79224
0.25	0.6	-1.2452	-1.75738
0.25	0.65	-0.171123	-6.19643
0.25	0.7	-2.80853	3.95615
0.25	0.75	0.0301348	-18.212
0.25	0.8	-3.16938	19.5765
0.25	0.85	-0.840995	-41.4791
0.25	0.9	-1.46394	45.2893
0.25	0.95	-1.05193	-75.8209

0.3	0.05	0.687751	-12.776
0.3	0.1	0.455994	-11.1963
0.3	0.15	1.53704	-9.00081
0.3	0.2	1.25502	-8.39619
0.3	0.25	2.48257	-6.22047
0.3	0.3	1.5135	-5.62901
0.3	0.35	2.04533	-3.88813
0.3	0.4	0.769864	-3.65374
0.3	0.45	0.885692	-2.94765
0.3	0.5	-1.37066e-15	-2.77599
0.3	0.55	0.453113	-3.8254
0.3	0.6	-0.769864	-0.6833
0.3	0.65	0.806984	-8.83384
0.3	0.7	-1.5135	6.79481
0.3	0.75	0.681481	-21.4115
0.3	0.8	-1.25502	21.9049
0.3	0.85	-0.236224	-42.102
0.3	0.9	-0.455994	45.7013
0.3	0.95	-0.101033	-74.769

0.35	0.05	-0.114675	-13.0078
0.35	0.1	0.599312	-10.1153
0.35	0.15	0.0904725	-9.28283
0.35	0.2	1.2709	-7.16865
0.35	0.25	0.490978	-7.18954
0.35	0.3	1.93736	-5.09718
0.35	0.35	0.585629	-5.1636
0.35	0.4	1.49862	-3.53791
0.35	0.45	0.151044	-3.83334
0.35	0.5	-1.9603e-16	-2.32288
0.35	0.55	-0.145185	-5.04838
0.35	0.6	-1.49862	0.893548
0.35	0.65	-0.251231	-11.1543
0.35	0.7	-1.93736	8.98979
0.35	0.75	-0.693259	-23.348
0.35	0.8	-1.2709	22.9237
0.35	0.85	-1.02984	-42.3218
0.35	0.9	-0.599312	46.0563
0.35	0.95	-0.594276	-74.668

0.4	0.05	0.481581	-12.2938
0.4	0.1	0.00183534	-10.6241
0.4	0.15	0.757396	-8.1024
0.4	0.2	-0.132693	-7.94857
0.4	0.25	1.22825	-5.74316
0.4	0.3	-0.127793	-6.44891
0.4	0.35	1.76763	-4.25061
0.4	0.4	-0.082826	-4.88548
0.4	0.45	1.96221	-3.98439
0.4	0.5	2.47539e-15	-2.46806
0.4	0.55	1.79001	-6.40181
0.4	0.6	0.082826	2.14094
0.4	0.65	1.28544	-12.8405
0.4	0.7	0.127793	10.2339
0.4	0.75	0.557938	-23.9256
0.4	0.8	0.132693	23.1648
0.4	0.85	0.138738	-41.8913
0.4	0.9	-0.00183534	46.0613
0.4	0.95	0.22248	-74.0737

0.45	0.05	-0.299098	-12.7735
0.45	0.1	0.291481	-9.86854
0.45	0.15	-0.414319	-8.99249
0.45	0.2	0.623664	-6.58762
0.45	0.25	-0.600433	-7.0992
0.45	0.3	1.14611	-4.55349
0.45	0.35	-0.889408	-6.10106
0.45	0.4	1.0716	-2.84045
0.45	0.45	-1.39854	-5.9466
0.45	0.5	-5.08803e-16	-0.678048
0.45	0.55	-1.45497	-8.109
0.45	0.6	-1.0716	3.34355
0.45	0.65	-1.04675	-13.9981
0.45	0.7	-1.14611	10.664
0.45	0.75	-0.817254	-24.3509
0.45	0.8	-0.623664	23.1708
0.45	0.85	-0.612087	-42.0319
0.45	0.9	-0.291481	46.2856
0.45	0.95	-0.381101	-74.2962

0.5	0.05	0.308696	-12.1829
0.5	0.1	-0.273648	-10.5743
0.5	0.15	0.373633	-7.95451
0.5	0.2	-0.710539	-7.81172
0.5	0.25	0.695248	-5.35266
0.5	0.3	-0.924052	-6.589
0.5	0.35	2.08836	-4.14005
0.5	0.4	-0.485958	-5.31059
0.5	0.45	3.76096	-4.54806
0.5	0.5	-2.04731e-16	-2.13302
0.5	0.55	3.8174	-7.72563
0.5	0.6	0.485958	3.3684
0.5	0.65	2.2457	-14.0975
0.5	0.7	0.924052	10.9929
0.5	0.75	0.91207	-24.1573
0.5	0.8	0.710539	23.1824
0.5	0.85	0.571401	-41.7113
0.5	0.9	0.273648	46.196
0.5	0.95	0.390699	-73.9151

0.55	0.05	-0.491179	-12.7653
0.55	0.1	-0.0196677	-9.92706
0.55	0.15	-0.71671	-9.03868
0.55	0.2	0.219568	-6.40593
0.55	0.25	-1.32307	-6.97196
0.55	0.3	-0.094261	-3.57659
0.55	0.35	-2.96658	-6.71437
0.55	0.4	-0.502817	-1.06367
0.55	0.45	-4.32463	-8.30902
0.55	0.5	-4.00474e-15	1.68438
0.55	0.55	-4.15244	-11.0571
0.55	0.6	0.502817	5.12814
0.55	0.65	-2.48439	-15.4191
0.55	0.7	0.094261	10.9809
0.55	0.75	-0.652753	-24.3588
0.55	0.8	-0.219568	23.0433
0.55	0.85	-0.0980525	-42.009
0.55	0.9	0.0196677	46.313
0.55	0.95	-0.232079	-74.3058

0.6	0.05	0.119384	-12.2938
0.6	0.1	-0.724504	-10.6241
0.6	0.15	-0.174387	-8.1024
0.6	0.2	-0.981906	-7.94857
0.6	0.25	1.18775	-5.74316
0.6	0.3	0.258621	-6.44891
0.6	0.35	4.00079	-4.25061
0.6	0.4	1.00234	-4.88548
0.6	0.45	5.96946	-3.98439
0.6	0.5	1.21885e-15	-2.46806
0.6	0.55	6.26569	-6.40181
0.6	0.6	-1.00234	2.14094
0.6	0.65	4.83765	-12.8405
0.6	0.7	-0.258621	10.2339
0.6	0.75	2.37198	-23.9256
0.6	0.8	0.981906	23.1648
0.6	0.85	0.945921	-41.8913
0.6	0.9	0.724504	46.0613
0.6	0.95	0.598985	-74.0737

0.65	0.05	-0.692459	-13.1377
0.65	0.1	-0.330802	-10.074
0.65	0.15	-1.45313	-8.90992
0.65	0.2	-1.54401	-5.77891
0.65	0.25	-4.16129	-6.67228
0.65	0.3	-3.70948	-2.70674
0.65	0.35	-6.63175	-7.24905
0.65	0.4	-3.27083	0.0816325
0.65	0.45	-7.0062	-9.95385
0.65	0.5	1.44626e-15	3.79763
0.65	0.55	-6.57362	-13.6698
0.65	0.6	3.27083	7.98093
0.65	0.65	-5.3934	-17.9367
0.65	0.7	3.70948	12.8645
0.65	0.75	-2.36021	-25.3157
0.65	0.8	1.54401	23.1288
0.65	0.85	0.320138	-42.1127
0.65	0.9	0.330802	45.9358
0.65	0.95	0.0963247	-74.6727

0.7	0.05	-0.4605	-12.776
0.7	0.1	-1.35357	-11.1963
0.7	0.15	0.375911	-9.00081
0.7	0.2	1.31737	-8.39619
0.7	0.25	4.87291	-6.22047
0.7	0.3	4.28022	-5.62901
0.7	0.35	7.26761	-3.88813
0.7	0.4	3.28027	-3.65374
0.7	0.45	7.24727	-2.94765
0.7	0.5	2.03155e-15	-2.77599
0.7	0.55	7.83002	-3.8254
0.7	0.6	-3.28027	-0.6833
0.7	0.65	8.9653	-8.83384
