# This is a data file of potential over a plane
# Variables: N=25, Top=4, Right=1, Bottom=-4, Left=2, Front=3, Back=4, cycles=10000

# X	Y	Z	V
0	0	0	0
0	0	1	3
0	0	2	3
0	0	3	3
0	0	4	3
0	0	5	3
0	0	6	3
0	0	7	3
0	0	8	3
0	0	9	3
0	0	10	3
0	0	11	3
0	0	12	3
0	0	13	3
0	0	14	3
0	0	15	3
0	0	16	3
0	0	17	3
0	0	18	3
0	0	19	3
0	0	20	3
0	0	21	3
0	0	22	3
0	0	23	3
0	0	24	3
0	0	25	0
0	1	0	-4
0	1	1	2
0	1	2	2
0	1	3	2
0	1	4	2
0	1	5	2
0	1	6	2
0	1	7	2
0	1	8	2
0	1	9	2
0	1	10	2
0	1	11	2
0	1	12	2
0	1	13	2
0	1	14	2
0	1	15	2
0	1	16	2
0	1	17	2
0	1	18	2
0	1	19	2
0	1	20	2
0	1	21	2
0	1	22	2
0	1	23	2
0	1	24	2
0	1	25	4
0	2	0	-4
0	2	1	2
0	2	2	2
0	2	3	2
0	2	4	2
0	2	5	2
0	2	6	2
0	2	7	2
0	2	8	2
0	2	9	2
0	2	10	2
0	2	11	2
0	2	12	2
0	2	13	2
0	2	14	2
0	2	15	2
0	2	16	2
0	2	17	2
0	2	18	2
0	2	19	2
0	2	20	2
0	2	21	2
0	2	22	2
0	2	23	2
0	2	24	2
0	2	25	4
0	3	0	-4
0	3	1	2
0	3	2	2
0	3	3	2
0	3	4	2
0	3	5	2
0	3	6	2
0	3	7	2
0	3	8	2
0	3	9	2
0	3	10	2
0	3	11	2
0	3	12	2
0	3	13	2
0	3	14	2
0	3	15	2
0	3	16	2
0	3	17	2
0	3	18	2
0	3	19	2
0	3	20	2
0	3	21	2
0	3	22	2
0	3	23	2
0	3	24	2
0	3	25	4
0	4	0	-4
0	4	1	2
0	4	2	2
0	4	3	2
0	4	4	2
0	4	5	2
0	4	6	2
0	4	7	2
0	4	8	2
0	4	9	2
0	4	10	2
0	4	11	2
0	4	12	2
0	4	13	2
0	4	14	2
0	4	15	2
0	4	16	2
0	4	17	2
0	4	18	2
0	4	19	2
0	4	20	2
0	4	21	2
0	4	22	2
